Cloud Coverage,Precipitation,Temp,Classification
6,15,-7.8,5
7,16,-8,5
5,10,-8.3,4
5,13,-11.5,4
5,11,-11.4,4
4,13,-12.8,4
2,6,-12.4,3
1,2,-12,2
0,0,-9.7,1
1,1,-8.1,2
2,7,-6.1,3
7,16,-3.9,5
7,17,-2.6,5
6,29,-1.9,6
7,14,-0.9,5
8,23,-1.6,6
8,19,-1.8,6
8,18,-2.2,6
7,15,-2.8,5
6,14,-3,5
3,7,-3.5,3
2,7,-3.7,3
5,11,-5,4
6,17,-3.7,5
6,14,-4.1,5
7,16,-4.7,5
7,14,-5.6,5
8,20,-5,6
8,25,-4.5,6
8,29,-4.4,6
8,29,-4,6
8,19,-3.6,6
8,18,-3.7,6
8,79,-3.3,9
4,82,-3.4,9
4,93,-3.9,10
4,88,-3.6,10
8,67,-3.1,9
8,39,-2.5,7
8,34,-2,7
4,77,-1.7,9
8,56,-1.1,8
8,21,-0.9,6
7,15,-1.7,5
7,78,-1.8,9
6,42,-2.3,7
6,15,-3.3,5
7,15,-3.2,5
7,14,-3.9,5
7,17,-3.9,5
7,16,-4.1,5
7,17,-4.5,5
7,15,-4.1,5
7,14,-4,5
7,14,-4.3,5
7,14,-5.6,5
7,15,-6.3,5
8,83,-5.7,9
8,18,-5,6
5,10,-3.3,4
7,16,-2.8,5
8,25,-2.8,6
8,29,-2.5,6
8,25,-2.4,6
8,22,-2.5,6
8,54,-2.9,8
8,33,-3.8,7
8,100,-4.2,10
8,24,-4.5,6
8,28,-6.1,6
7,95,-6.1,10
8,60,-7.8,8
8,28,-8.3,6
2,7,-9.2,3
1,2,-10.1,2
1,1,-10.8,2
0,0,-11.5,1
0,0,-12.3,1
1,3,-13.5,2
5,12,-12.8,4
5,11,-12.8,4
7,15,-11.1,5
8,20,-10.2,6
7,14,-8.7,5
7,72,-8.9,9
7,36,-8.1,7
7,16,-9,5
7,17,-9.7,5
7,39,-9.9,7
7,43,-10.1,7
7,15,-10.5,5
3,6,-11.2,3
3,5,-11.4,3
4,9,-12,4
1,1,-12.7,2
1,3,-12.8,2
1,2,-12.6,2
1,1,-13.7,2
0,0,-14.1,1
1,1,-15,2
3,7,-14.3,3
3,8,-14.6,3
6,14,-14.3,5
7,14,-13.8,5
8,33,-13,7
8,70,-11.8,9
7,59,-10.7,8
8,90,-10,10
8,59,-9.8,8
7,74,-9.3,9
7,55,-9.2,8
7,86,-9.4,10
7,15,-9.3,5
6,76,-9.8,9
4,12,-10.5,4
2,8,-11.4,3
0,0,-11.9,1
1,3,-12.7,2
4,13,-13,4
3,8,-12.5,3
3,7,-14.2,3
2,8,-14.2,3
3,4,-13,3
5,11,-12.1,4
4,9,-12.6,4
5,12,-13.6,4
2,4,-14.6,3
2,6,-14.1,3
2,4,-12.9,3
2,4,-12.1,3
2,4,-11.2,3
4,12,-10.4,4
7,17,-9.7,5
8,22,-9.9,6
7,16,-9.5,5
3,8,-9.6,3
6,50,-10.5,8
4,37,-11.1,7
3,5,-11,3
4,9,-11.8,4
2,7,-13.3,3
6,16,-12,5
6,16,-11,5
5,13,-11.8,4
6,17,-11.8,5
7,44,-11.6,7
8,26,-11.4,6
6,14,-11.3,5
5,11,-12,4
2,6,-12.5,3
1,3,-12.8,2
1,3,-12.3,2
1,3,-12,2
6,15,-9.9,5
5,12,-8.9,4
7,17,-8.3,5
8,19,-7,6
7,15,-6.8,5
7,14,-6.4,5
6,15,-6,5
4,10,-6.3,4
2,8,-6.9,3
3,4,-8,3
3,4,-9.2,3
3,5,-9.8,3
3,5,-10.8,3
2,8,-11.5,3
2,8,-12.1,3
2,8,-13.4,3
1,2,-12.1,2
0,0,-13.4,1
0,0,-13.1,1
0,0,-13.7,1
2,7,-13.6,3
4,11,-13.9,4
6,17,-13,5
6,17,-11.8,5
4,13,-9.2,4
3,4,-6.7,3
6,16,-5.1,5
3,4,-4.2,3
2,4,-3.2,3
1,2,-2.4,2
2,8,-1.5,3
1,2,-1.5,2
1,2,-1.6,2
1,1,-2.2,2
0,0,-2.3,1
0,0,-3.8,1
0,0,-4.3,1
0,0,-5.3,1
0,0,-5.2,1
0,0,-6.5,1
0,0,-8.1,1
0,0,-8,1
0,0,-7.6,1
0,0,-11.5,1
0,0,-9.2,1
0,0,-9.6,1
1,1,-9.1,2
2,6,-8.3,3
3,4,-5.4,3
3,8,-2,3
3,6,-0.8,3
4,13,-0.8,4
5,11,-0.4,4
5,13,0.2,4
6,15,0.2,5
7,17,0,5
7,17,-0.8,5
8,26,-1.3,6
8,18,-0.9,6
8,19,-0.6,6
8,28,-0.2,6
8,22,0.2,6
8,29,0.6,6
8,37,0.8,7
8,66,0.6,8
8,32,0.7,7
8,42,0.9,7
8,92,1.8,10
8,63,3,8
8,48,3.4,7
8,55,3.4,8
8,86,4,10
8,24,4.9,6
8,18,4.7,6
7,17,5.3,5
8,69,4,9
8,23,3.4,6
8,79,2.8,9
8,45,2.4,7
8,40,2.2,7
8,71,2,9
8,98,2.5,10
8,67,2.1,9
8,87,2,10
8,26,2.2,6
8,27,2.5,6
8,100,2.2,10
8,40,2,7
8,24,1.9,6
8,22,2,6
7,17,1.9,5
2,6,1.6,3
8,22,1.4,6
6,17,1,5
7,16,0.8,5
8,21,0.9,6
8,19,0.9,6
8,24,1,6
7,15,1,5
7,15,2,5
8,18,0.8,6
8,26,0.4,6
8,55,0.2,8
8,98,-0.2,10
7,75,-0.4,9
6,14,-0.7,5
3,5,-1.5,3
1,1,-1.9,2
6,15,-2.1,5
7,15,-1.9,5
7,76,-1.6,9
7,73,-1.7,9
8,72,-1.8,9
8,93,-1.9,10
8,80,-2.3,9
8,27,-2.5,6
7,15,-2.5,5
7,14,-2.7,5
6,14,-2.6,5
6,15,-1.9,5
6,14,-1.7,5
3,4,-0.4,3
1,1,0.3,2
1,2,0.8,2
2,7,2.1,3
2,4,2.7,3
2,4,2.8,3
2,7,2.5,3
0,0,2.3,1
0,0,1.7,1
1,3,0,2
0,0,0.3,1
0,0,0.1,1
0,0,-0.7,1
0,0,-1.6,1
0,0,-2,1
0,0,-2,1
0,0,-2.5,1
4,13,-2.4,4
3,4,-2.5,3
7,16,-1.8,5
6,15,-1.8,5
7,14,-1.2,5
8,21,-0.5,6
8,24,0.3,6
7,15,0.9,5
8,18,1.3,6
8,53,1.9,8
8,53,2,8
8,73,1.8,9
7,16,2.6,5
7,14,3.4,5
8,18,3.2,6
8,22,2.7,6
8,24,2.1,6
8,72,2,9
8,24,1.9,6
8,26,2.1,6
8,24,2,6
8,26,2.2,6
7,14,2.1,5
8,25,1.9,6
6,17,1.9,5
7,14,1.8,5
8,26,2.1,6
6,16,2.5,5
7,15,2.6,5
7,14,3.4,5
7,16,5.1,5
7,14,6,5
8,89,6.5,10
8,83,6.5,9
8,30,6.4,7
7,38,7.4,7
8,31,6.8,7
8,29,6.7,6
8,38,7,7
7,85,6.4,10
8,36,5.8,7
8,66,7.4,8
5,10,8.1,4
2,47,6,7
1,1,6.4,2
7,59,6.8,8
1,3,7.3,2
1,1,9.5,2
1,3,9.3,2
7,17,7,5
8,26,6.8,6
7,14,6.3,5
7,17,6,5
6,17,6.2,5
7,17,6.4,5
8,28,6.4,6
8,28,6.3,6
8,23,6.2,6
8,21,5.9,6
8,53,5.6,8
8,19,5.7,6
8,53,5.5,8
8,57,5,8
8,100,3.6,10
8,39,2.9,7
8,98,2.7,10
8,96,2.2,10
8,98,1.6,10
8,20,1.4,6
7,14,0.4,5
5,9,-0.2,4
5,9,-0.8,4
6,15,-1.5,5
3,7,-2,3
7,15,-1.3,5
6,16,-1.5,5
7,51,-1.4,8
7,15,-1.3,5
7,67,-0.9,9
4,13,-0.3,4
8,36,0.2,7
7,96,0.5,10
7,100,0.7,10
6,32,0.8,7
6,100,0.4,10
6,98,-0.1,10
7,95,-0.4,10
7,17,-1.2,5
8,28,-2.1,6
1,3,-2.7,2
7,16,-2.3,5
6,64,-2.7,8
2,8,-3.5,3
3,7,-4,3
6,16,-4.5,5
3,8,-4.6,3
7,15,-4.4,5
1,3,-5.8,2
1,1,-5.7,2
2,4,-6,3
3,8,-6.3,3
1,3,-4.7,2
3,8,-3.3,3
6,14,-1.6,5
5,10,0,4
6,14,0.9,5
7,17,1.9,5
7,17,2.2,5
7,17,1.1,5
7,15,0.9,5
7,14,0.7,5
6,17,0.6,5
7,15,-0.7,5
3,4,-2.3,3
1,2,-3,2
2,3,-2.6,2
7,90,-2.1,10
7,17,-3,5
2,7,-2.2,3
5,12,-3,4
4,9,-3.2,4
5,9,-2.5,4
4,10,-2.2,4
1,3,-3,2
1,3,-2.6,2
3,7,-0.6,3
6,15,1.1,5
6,14,2,5
7,14,1.9,5
8,32,1.8,7
4,12,2.4,4
3,7,2.8,3
1,3,2.5,2
1,1,2.6,2
2,8,2,3
2,7,1.3,3
1,2,0.5,2
1,1,-0.9,2
2,7,-2,3
1,2,-1.5,2
7,16,-1.6,5
7,63,-1.7,8
6,32,-1.9,7
8,97,-2,10
3,6,-3.3,3
1,3,-3.3,2
1,2,-3.6,2
3,8,-3.4,3
2,5,-3.6,3
4,13,-1.5,4
5,9,-0.1,4
5,10,2.1,4
5,10,3.7,4
6,14,4.5,5
6,14,5.2,5
6,15,6,5
6,17,6.3,5
5,9,6.1,4
5,10,5.7,4
3,7,4.5,3
4,13,2.5,4
1,1,2.2,2
0,0,1.3,1
0,0,1.4,1
0,0,0.8,1
1,3,0.6,2
1,3,0.2,2
4,13,-0.4,4
5,10,-0.2,4
6,17,-0.3,5
6,14,0.6,5
6,14,0.6,5
4,13,0.7,4
2,6,2,3
2,6,4.2,3
2,6,6.1,3
3,8,7.4,3
4,11,8.6,4
5,12,9,4
6,17,9.5,5
7,14,9.2,5
8,21,8.8,6
8,25,8.2,6
8,29,8,6
8,40,7.3,7
8,29,6.3,6
8,45,5,7
8,79,4.2,9
8,68,3.6,9
8,78,3.5,9
8,89,3.5,10
8,73,3.2,9
8,79,2.9,9
8,44,3,7
8,96,3.1,10
8,41,2.9,7
8,46,3,7
8,28,3.2,6
8,28,3.8,6
8,22,3.9,6
8,27,4.1,6
8,18,4.7,6
8,23,5.6,6
8,18,6.1,6
7,17,7.5,5
7,14,7.7,5
7,16,6.8,5
8,24,6.2,6
8,27,6.1,6
8,18,5.5,6
8,18,5,6
8,24,4.5,6
8,24,3.8,6
8,23,3.3,6
8,95,3,10
8,95,2.6,10
6,17,1.9,5
8,19,2.1,6
8,23,2.1,6
8,68,2.3,9
8,46,2.7,7
7,17,3,5
8,15,3.1,5
8,81,2.9,9
8,32,2.5,7
7,17,1.9,5
8,23,1.4,6
6,14,1.4,5
2,7,1.1,3
7,15,0.3,5
6,14,-1,5
7,17,-1.9,5
7,16,-2,5
6,16,-2,5
4,9,-2.3,4
2,5,-2.7,3
0,0,-3.2,1
0,0,-3.6,1
0,0,-4.3,1
0,0,-5.2,1
0,0,-5.9,1
0,0,-6.3,1
0,0,-6.5,1
1,1,-6.7,2
0,0,-6.5,1
0,0,-5.2,1
0,0,-3.7,1
0,0,-2.1,1
0,0,-0.2,1
0,0,2,1
0,0,3,1
0,0,4.3,1
0,0,4.2,1
0,0,4.7,1
1,1,4,2
1,3,2.8,2
0,0,1.1,1
0,0,0.1,1
0,0,-1.1,1
0,0,-0.4,1
0,0,-0.1,1
0,0,-0.4,1
0,0,-1.3,1
0,0,-0.2,1
0,0,0.3,1
0,0,-1.7,1
0,0,-0.8,1
3,5,0.4,3
7,15,1.7,5
8,23,3.5,6
8,22,4.8,6
8,23,5.7,6
7,17,6.1,5
7,14,6.9,5
7,15,7.8,5
7,16,7.9,5
7,14,8,5
7,15,9.2,5
8,23,8.5,6
8,24,7.3,6
7,15,3.6,5
7,14,1.8,5
6,14,0.9,5
7,14,0.6,5
8,19,-0.3,6
8,20,-0.6,6
8,29,-0.8,6
6,15,-1.7,5
2,5,-3,3
1,3,-4.3,2
0,0,-4.3,1
1,2,-4.5,2
1,3,-3.8,2
0,0,-2.9,1
0,0,-1.6,1
1,3,-0.8,2
1,2,0,2
0,0,2,1
0,0,2.6,1
0,0,3.4,1
0,0,3.3,1
0,0,2.8,1
0,0,2.3,1
0,0,1.5,1
0,0,-0.3,1
0,0,-0.8,1
0,0,-1.4,1
0,0,-2.4,1
0,0,-2.9,1
0,0,-3.1,1
0,0,-3.4,1
0,0,-3.4,1
0,0,-3.3,1
0,0,-3.7,1
0,0,-3.9,1
0,0,-4,1
0,0,-3.4,1
0,0,-2.1,1
0,0,-0.9,1
0,0,0.3,1
0,0,1.3,1
0,0,2.2,1
0,0,2.9,1
0,0,3.6,1
0,0,3.1,1
1,2,3.3,2
1,2,2.1,2
1,1,2.5,2
1,1,1.4,2
0,0,0.4,1
0,0,-0.2,1
0,0,-1,1
0,0,-1,1
1,1,-0.8,2
0,0,-1.3,1
3,8,-2.7,3
7,14,-3,5
7,15,-3,5
7,15,-3.4,5
7,15,-1.5,5
7,16,-1.2,5
6,17,0.2,5
1,1,2.8,2
1,3,4.4,2
1,2,5.5,2
1,2,6.1,2
1,1,6.6,2
1,1,7.6,2
2,7,7.3,3
6,14,7.3,5
8,27,4.7,6
7,15,3,5
6,15,2.2,5
6,17,1.8,5
3,4,1.5,3
1,1,1.5,2
1,3,0.9,2
0,0,0.4,1
0,0,0,1
3,8,0.1,3
5,13,0.7,4
7,14,1,5
6,17,1.7,5
8,26,2.3,6
8,89,2.6,10
8,63,3.2,8
8,37,5.8,7
8,87,5.9,10
7,16,6.5,5
7,17,9.2,5
7,15,11.2,5
8,18,10.5,6
8,24,10,6
7,17,11.3,5
7,16,11.2,5
7,15,10.5,5
7,15,10.1,5
7,15,10,5
8,25,9.4,6
7,15,8,5
8,27,6.9,6
8,41,6.2,7
8,29,4.8,6
8,20,4.2,6
8,23,4,6
8,18,3.9,6
8,19,3.7,6
7,17,4.3,5
7,16,4.2,5
7,16,4.7,5
4,12,6.2,4
1,2,8.2,2
2,4,9.7,3
3,6,9.7,3
2,5,11.2,3
3,6,11.3,3
2,6,11.1,3
2,4,11.1,3
3,5,10.7,3
3,8,9.7,3
4,13,7.3,4
7,17,5.9,5
5,13,4.6,4
5,12,3.2,4
7,14,3.1,5
7,16,3.2,5
8,29,3.8,6
7,60,3.8,8
8,92,3.3,10
8,61,2.6,8
8,61,1.8,8
8,44,1.6,7
8,79,1.8,9
8,49,2.2,8
8,72,3,9
8,38,3.2,7
6,83,3.5,9
8,48,3.8,7
8,49,4.3,8
6,39,3.5,7
8,35,3.4,7
8,83,2.8,9
8,99,2.8,10
8,63,2.7,8
8,64,2.4,8
8,64,1.5,8
8,60,1.1,8
8,48,0.8,7
4,50,0.4,8
4,33,0.4,7
8,80,0.2,9
8,58,-0.1,8
8,85,-0.4,10
8,73,-0.4,9
7,62,-0.4,8
6,53,-0.2,8
8,88,0,10
8,81,0.3,9
7,16,0.8,5
8,20,1,6
8,60,0.6,8
8,33,1.6,7
8,51,1.2,8
8,42,1.4,7
4,98,0.3,10
8,98,0.4,10
6,15,-0.5,5
7,17,-1.8,5
6,14,-2.7,5
6,17,-3.1,5
6,16,-3.4,5
7,15,-3.5,5
